hex_id,F1,F2,F3,F4,F5,class_km
88099a2527fffff,0.5254176601353545,-0.05317309031278972,0.2725007148170765,1.494709762232451,-0.6866916192364187,7
88099a2529fffff,0.7151091424170076,0.17117283822496399,-0.32250748930663725,1.427994536935926,-0.32505071686236375,7
88099a252bfffff,0.6906765065065454,-0.014430197507386833,-0.16962596440370842,1.4332096561270289,-0.31616661788437694,7
88099a2531fffff,0.33057802250423773,0.11174625625512813,0.15326439001342318,2.257783459041216,-0.6521907912787364,7
88099a2533fffff,0.7011084002701051,-0.18655079189505175,-0.8306658786222904,2.8414323141516986,0.14781482435103466,7
88099a2535fffff,0.546258951790152,-0.025497209443954394,0.3711780264753486,1.6569366777677597,-0.7221546054984024,7
88099a2537fffff,-0.03619359531121846,-0.2123289414561509,0.7413763027166337,2.752828318286689,-0.23274138848757706,7
88099a253bfffff,1.7350522178490377,0.0879721028027062,-1.197513399918728,1.7371900303306744,0.42390147267126566,3
88099a2557fffff,3.01489267627264,-0.6287003839652334,-1.674061455638375,2.0924482001009372,-0.3287054705916489,3
88099a255bfffff,4.333611039441232,-0.8379864344042106,-1.9537769370674882,0.7972697422480959,-0.4646123497050867,3
88099a256dfffff,1.011761047764827,0.39551997496719793,-0.6642834126049834,1.0295751150978325,-0.6779219483095404,2
88099a2581fffff,3.502737381597218,-0.4209707723753688,-2.0251453530024337,1.5691843976594282,-0.09028777296206769,3
88099a2583fffff,2.06657584534188,-0.11703275760801346,-1.8239688374801257,1.5185733243758417,0.6737565580820988,3
88099a2585fffff,1.85991088469236,-0.2100700813035416,-1.965686429383654,1.9256382592507264,0.18698184252178335,3
88099a2587fffff,1.3747107406192742,-0.22179560407160337,-1.4558505227508156,1.0915471916473145,0.9198056521227318,0
88099a2589fffff,4.65786615986908,-0.10617286402123738,-0.9962292067082248,0.3226016501556215,1.434529832752663,3
88099a258bfffff,3.1791129769537516,1.7020327620445208,-2.1149684682058436,-0.4678771667744055,1.8283391130246416,3
88099a258dfffff,4.397625246649229,-1.3222031648564143,-1.526006765918498,1.5968447875319376,0.4948765731722906,3
88099a2591fffff,0.31510644426876017,1.5887244547462989,-1.8277731055544848,0.4442156552980701,1.2179378069714892,0
88099a2593fffff,-0.23690535246168384,1.2222699858024701,-1.33245572140393,1.1456538017790732,1.2744522688185118,0
88099a2595fffff,0.9168548354796473,0.23073428940226906,-1.4056606238815932,0.6753109304066081,0.5718851481535352,0
88099a2597fffff,-0.07305163289886935,0.9003560632847034,-1.380731749577435,0.9006245714479794,1.3848673287896591,0
88099a2599fffff,2.739393813568081,0.9469568092418773,-2.1919216317198176,-0.4432462595756077,1.5427486836917086,3
88099a259bfffff,0.49718394095053847,2.3358286416346687,-2.0585146284830524,0.25625406456538496,1.1632940542528474,4
88099a259dfffff,1.935839791983319,0.755815202068132,-2.195170183094749,0.8391627026385797,1.4521253589795309,3
88099a25a3fffff,0.22196926885576626,-0.10399145714520397,-1.1390812581368903,1.127839478596905,0.4865920036643402,0
88099a25a7fffff,0.102146077761991,-0.006102173812621181,-0.7929833329469187,0.8403517864105869,-0.15058420035276207,0
88099a25a9fffff,1.02107266574856,0.5253775053217624,-1.302393028004861,0.8882450023074872,0.34958583008853555,0
88099a25abfffff,0.42776863699228146,0.18581404540810081,-1.3701449689344456,1.4722545572611554,1.1202718590661327,0
88099a25b1fffff,0.36610443790227215,-0.1826450864979965,-1.1235552336305856,1.159615334901808,1.1009842273170674,0
88099a25b5fffff,0.10111396717222529,-0.008702407303452953,-0.9261849959495991,1.1548948936329753,0.11078481412155022,0
88099a25b7fffff,0.01593490475538248,-0.0532813191377105,-1.0317011814852977,1.2129795383518815,0.4745751852582059,0
88099a25b9fffff,0.44027588386000194,-0.015378827671119241,-1.1793196546465956,1.6800067336456719,1.080278742881681,0
88099a25bdfffff,0.19466024658213227,-0.17669761053305685,-1.147032655496065,1.0238858641983537,0.9654281631750632,0
88099a25c1fffff,5.560141019626089,-0.48851924039367345,1.115282149238333,-1.7663085716461766,0.6872913362552457,3
88099a25c3fffff,5.515861763942427,-0.6032354125840611,1.4971985578010942,-1.5643104465862017,1.1799324174012926,3
88099a25c5fffff,5.8146828256357,-2.0958328630393064,-0.9849161573507477,0.5299355401226316,0.021251464321946356,3
88099a25c7fffff,5.989475795906686,-1.2065063558258065,-0.8267640291799695,-0.2113886051957774,-0.028097567314340655,3
88099a25c9fffff,5.833227117995564,-1.0649981619204492,0.7878734579642896,-1.3608530162342896,1.0830013645134542,3
88099a25cbfffff,5.078038777408532,0.008229069275884848,1.9268648913276578,-2.0600952517998268,1.3999128034387518,3
88099a25cdfffff,5.719783042377241,-1.8787309959625185,-0.4771552154829073,0.7988495532244888,-0.4537805846391123,3
88099a25d1fffff,2.1323560511954693,1.2500023358447057,4.647338598192688,-2.250751197151547,2.553677811759933,6
88099a25d7fffff,3.4162384344565826,1.9122478917487338,-1.418342360822997,-1.3220552281941251,1.4824553940376122,3
88099a25d9fffff,1.3692832718860761,-1.0264880130906904,8.219270262796313,-0.942569688673947,1.8255868997339655,6
88099a25ddfffff,3.375775545907695,0.36679120870574633,4.366629312563568,-2.69191736924487,2.4175751040969695,6
88099a25e1fffff,1.0907582359172399,-0.1484570672221572,-0.70366009259294,2.054638405875357,0.6407399666670893,7
88099a25e3fffff,1.892607570693449,0.2895909379732471,-1.2774626091393873,0.9851283683375522,0.8168965651224822,3
88099a25e5fffff,0.7957709589509872,-0.13404630498631895,-0.5813292701320445,2.188174746916169,0.49088559970870727,7
88099a25e7fffff,0.3057128290155253,0.024850648631808248,-0.7863646817731345,2.1101351676999025,0.6827846511508621,7
88099a25e9fffff,4.050238154959255,-1.04135830004599,-1.132727834528395,0.7895910019807004,0.31343787426677305,3
88099a25ebfffff,4.668847818313786,-1.4694838541296853,-1.3220460458515049,1.376540207823626,0.2872477052064777,3
88099a25edfffff,1.0869307410154583,-0.2793098673406326,-0.3853466098030499,2.33413970217169,0.6621216626286893,7
88099a2681fffff,0.4617722830414057,0.026369665564401512,0.002730241667103561,2.128762968311175,0.30808195203582533,7
88099a2683fffff,-0.011776362897351067,-0.08784647068034568,0.4905968652108845,2.1566157898468035,0.1446101735374944,7
